WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan\Ti6242\Ti6242-2-Old-FS\Day 5 - 7 [Fractured].W02 - 3]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 88113
Total number of data points: 7311
Test date: 27/11/2017
Test time: 11:25:22
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 
Load Current (kN)	 Stroke Current (mm)	 TIME (S)	 
17.73	 0.47	 60.1559	 
17.73	 0.48	 60.3280	 
17.73	 0.47	 60.4679	 
17.73	 0.47	 60.6249	 
17.73	 0.48	 60.7650	 
17.73	 0.48	 60.9220	 
17.73	 0.47	 61.0619	 
17.73	 0.47	 61.2179	 
17.73	 0.47	 61.3590	 
17.73	 0.48	 61.5150	 
17.73	 0.47	 61.6559	 
17.73	 0.47	 61.8119	 
17.73	 0.47	 61.9530	 
17.73	 0.47	 62.1249	 
17.73	 0.47	 62.2650	 
17.73	 0.47	 62.4220	 
17.73	 0.47	 62.5619	 
17.73	 0.48	 62.7179	 
17.73	 0.47	 62.8590	 
17.73	 0.47	 63.0150	 
17.73	 0.47	 63.1559	 
17.73	 0.47	 63.3119	 
17.73	 0.48	 63.4530	 
17.73	 0.47	 63.6090	 
17.73	 0.47	 63.7499	 
17.73	 0.47	 63.9059	 
17.73	 0.47	 64.0470	 
17.73	 0.47	 64.2179	 
17.73	 0.47	 64.3590	 
17.73	 0.48	 64.5150	 
17.73	 0.47	 64.6559	 
17.73	 0.48	 64.8280	 
17.73	 0.48	 64.9679	 
17.73	 0.47	 65.1400	 
17.73	 0.47	 65.2809	 
17.73	 0.47	 65.4369	 
17.73	 0.48	 65.5780	 
17.73	 0.48	 65.7340	 
17.73	 0.48	 65.8749	 
17.73	 0.48	 66.0309	 
17.73	 0.47	 66.1720	 
17.73	 0.47	 66.3429	 
17.73	 0.47	 66.4840	 
17.73	 0.48	 66.6400	 
17.73	 0.47	 66.7809	 
17.73	 0.47	 66.9369	 
17.73	 0.47	 67.0780	 
17.73	 0.47	 67.2499	 
17.73	 0.48	 67.3900	 
17.73	 0.48	 67.5470	 
17.73	 0.47	 67.6869	 
17.73	 0.47	 67.8429	 
17.73	 0.48	 67.9840	 
17.73	 0.47	 68.1400	 
17.73	 0.48	 68.2809	 
17.73	 0.47	 68.4530	 
17.73	 0.47	 68.5929	 
17.73	 0.47	 68.7650	 
17.73	 0.47	 68.9059	 
17.73	 0.48	 69.0780	 
17.73	 0.47	 69.2340	 
17.73	 0.47	 69.3900	 
17.73	 0.47	 69.5309	 
17.73	 0.47	 69.6720	 
17.73	 0.47	 69.8119	 
17.73	 0.47	 69.9679	 
17.73	 0.47	 70.1090	 
17.73	 0.47	 70.2650	 
17.73	 0.47	 70.4059	 
17.73	 0.47	 70.5780	 
17.73	 0.47	 70.7179	 
17.73	 0.47	 70.8900	 
17.73	 0.48	 71.0309	 
17.73	 0.47	 71.2030	 
17.73	 0.48	 71.3590	 
17.73	 0.47	 71.5150	 
17.73	 0.47	 71.6559	 
17.73	 0.47	 71.8280	 
17.73	 0.47	 71.9679	 
17.73	 0.47	 72.1400	 
17.73	 0.47	 72.2809	 
17.73	 0.47	 72.4679	 
