WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-3-Old-FS\Day 2 - 11351.W02 - 2]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1781181
Total number of data points: 148400
Test date: 08/12/2017
Test time: 17:04:18
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
11.06,  0.32,  57.2820,  
14.14,  0.38,  57.4220,  
17.21,  0.45,  57.5790,  
18.88,  0.49,  57.7190,  
15.81,  0.42,  57.8910,  
12.73,  0.36,  58.0320,  
9.67,  0.29,  58.1880,  
6.50,  0.23,  58.3290,  
4.24,  0.18,  58.4850,  
1.12,  0.12,  58.6250,  
1.90,  0.13,  58.7820,  
4.14,  0.17,  58.9220,  
7.18,  0.24,  59.0790,  
10.30,  0.30,  59.2190,  
13.34,  0.37,  59.3750,  
15.66,  0.42,  59.5160,  
18.77,  0.49,  59.6720,  
16.55,  0.44,  59.8130,  
13.52,  0.37,  59.9690,  
11.16,  0.32,  60.1100,  
8.13,  0.26,  60.2660,  
5.00,  0.19,  60.4070,  
2.71,  0.15,  60.5630,  
0.31,  0.10,  60.7040,  
3.37,  0.16,  60.8600,  
6.42,  0.22,  61.0000,  
8.71,  0.27,  61.1570,  
11.82,  0.34,  61.2970,  
14.87,  0.40,  61.4540,  
17.17,  0.45,  61.5940,  
17.31,  0.46,  61.7660,  
15.04,  0.41,  61.9070,  
11.97,  0.34,  62.0790,  
8.89,  0.27,  62.2190,  
5.77,  0.21,  62.3910,  
2.66,  0.15,  62.5320,  
0.31,  0.10,  62.7040,  
4.13,  0.17,  62.8750,  
6.41,  0.22,  63.0160,  
9.57,  0.29,  63.1570,  
11.80,  0.33,  63.3130,  
14.89,  0.40,  63.4540,  
17.93,  0.47,  63.6100,  
16.55,  0.44,  63.7970,  
13.49,  0.37,  63.9540,  
11.19,  0.32,  64.0940,  
