No.	Pos. [°2Th.]	Iobs [cts]	Icalc [cts]	Iback [cts]	CT [s]	ESD	D spacings
217	37.1377	141.8383	 	 	224.7900	 	2.41895
218	37.1707	154.7525	 	 	224.7900	 	2.41687
219	37.2037	152.5279	 	 	224.7900	 	2.41481
220	37.2367	142.2251	 	 	224.7900	 	2.41274
221	37.2697	122.9932	 	 	224.7900	 	2.41068
222	37.3027	126.3043	 	 	224.7900	 	2.40862
223	37.3357	138.9923	 	 	224.7900	 	2.40657
224	37.3687	139.0082	 	 	224.7900	 	2.40452
225	37.4017	138.6562	 	 	224.7900	 	2.40248
226	37.4347	139.3407	 	 	224.7900	 	2.40043
227	37.4677	149.1355	 	 	224.7900	 	2.39840
228	37.5007	130.8358	 	 	224.7900	 	2.39636
229	37.5337	124.5211	 	 	224.7900	 	2.39433
230	37.5667	136.1130	 	 	224.7900	 	2.39230
231	37.5997	136.6235	 	 	224.7900	 	2.39028
232	37.6327	134.5215	 	 	224.7900	 	2.38826
233	37.6657	152.2595	 	 	224.7900	 	2.38624
234	37.6987	156.2268	 	 	224.7900	 	2.38423
235	37.7317	159.4493	 	 	224.7900	 	2.38222
236	37.7647	146.8923	 	 	224.7900	 	2.38021
237	37.7977	143.0413	 	 	224.7900	 	2.37821
238	37.8307	146.0392	 	 	224.7900	 	2.37621
239	37.8637	153.9381	 	 	224.7900	 	2.37422
240	37.8967	151.0561	 	 	224.7900	 	2.37223
241	37.9297	158.7361	 	 	224.7900	 	2.37024
242	37.9627	156.1316	 	 	224.7900	 	2.36825
243	37.9957	156.9498	 	 	224.7900	 	2.36627
244	38.0287	194.1082	 	 	224.7900	 	2.36429
245	38.0617	221.7258	 	 	224.7900	 	2.36232
246	38.0947	194.2005	 	 	224.7900	 	2.36035
247	38.1277	241.7163	 	 	224.7900	 	2.35838
248	38.1607	268.1940	 	 	224.7900	 	2.35642
249	38.1937	379.0680	 	 	224.7900	 	2.35446
250	38.2267	567.2915	 	 	224.7900	 	2.35250
251	38.2597	994.8347	 	 	224.7900	 	2.35055
252	38.2927	1646.5160	 	 	224.7900	 	2.34860
253	38.3257	2286.3000	 	 	224.7900	 	2.34665
254	38.3587	2499.7210	 	 	224.7900	 	2.34471
255	38.3917	2768.9740	 	 	224.7900	 	2.34277
256	38.4247	2978.7720	 	 	224.7900	 	2.34083
257	38.4577	2690.7470	 	 	224.7900	 	2.33890
258	38.4907	2407.4210	 	 	224.7900	 	2.33697
259	38.5237	2287.0720	 	 	224.7900	 	2.33505
260	38.5567	1795.8950	 	 	224.7900	 	2.33312
261	38.5897	1245.0220	 	 	224.7900	 	2.33120
262	38.6227	966.8920	 	 	224.7900	 	2.32929
263	38.6557	732.4602	 	 	224.7900	 	2.32738
264	38.6887	514.6649	 	 	224.7900	 	2.32547
265	38.7217	390.6824	 	 	224.7900	 	2.32356
266	38.7547	394.8128	 	 	224.7900	 	2.32166
267	38.7877	432.7286	 	 	224.7900	 	2.31976
268	38.8207	491.4924	 	 	224.7900	 	2.31786
269	38.8537	576.8742	 	 	224.7900	 	2.31597
270	38.8867	653.1876	 	 	224.7900	 	2.31408
271	38.9197	762.6700	 	 	224.7900	 	2.31219
272	38.9527	825.0665	 	 	224.7900	 	2.31031
273	38.9857	915.5167	 	 	224.7900	 	2.30843
274	39.0187	991.6262	 	 	224.7900	 	2.30656
275	39.0517	977.1543	 	 	224.7900	 	2.30468
276	39.0847	964.1804	 	 	224.7900	 	2.30281
277	39.1177	913.8978	 	 	224.7900	 	2.30095
278	39.1507	837.5448	 	 	224.7900	 	2.29908
279	39.1837	774.2408	 	 	224.7900	 	2.29722
280	39.2167	653.9546	 	 	224.7900	 	2.29536
281	39.2497	541.7239	 	 	224.7900	 	2.29351
282	39.2827	442.6128	 	 	224.7900	 	2.29166
283	39.3157	348.3232	 	 	224.7900	 	2.28981
284	39.3487	320.9380	 	 	224.7900	 	2.28797
285	39.3817	279.3562	 	 	224.7900	 	2.28613
286	39.4147	241.0633	 	 	224.7900	 	2.28429
287	39.4477	217.5580	 	 	224.7900	 	2.28245
288	39.4807	203.6171	 	 	224.7900	 	2.28062
289	39.5137	199.4215	 	 	224.7900	 	2.27879
290	39.5467	185.3696	 	 	224.7900	 	2.27697
291	39.5797	176.3505	 	 	224.7900	 	2.27515
292	39.6127	193.4112	 	 	224.7900	 	2.27333
293	39.6457	197.4490	 	 	224.7900	 	2.27151
294	39.6787	172.1450	 	 	224.7900	 	2.26970
295	39.7117	170.9395	 	 	224.7900	 	2.26789
296	39.7447	191.5305	 	 	224.7900	 	2.26608
297	39.7777	199.4597	 	 	224.7900	 	2.26428
298	39.8107	221.4213	 	 	224.7900	 	2.26247
299	39.8437	237.3646	 	 	224.7900	 	2.26068
300	39.8767	256.5256	 	 	224.7900	 	2.25888
301	39.9097	268.0292	 	 	224.7900	 	2.25709
302	39.9427	307.5311	 	 	224.7900	 	2.25530
303	39.9757	383.2583	 	 	224.7900	 	2.25352
304	40.0087	440.4169	 	 	224.7900	 	2.25173
305	40.0417	592.5615	 	 	224.7900	 	2.24995
306	40.0747	801.6232	 	 	224.7900	 	2.24818
307	40.1077	1063.7600	 	 	224.7900	 	2.24640
308	40.1407	1546.1080	 	 	224.7900	 	2.24463
309	40.1737	2129.3860	 	 	224.7900	 	2.24286
310	40.2067	2925.4310	 	 	224.7900	 	2.24110
311	40.2397	3639.7870	 	 	224.7900	 	2.23934
312	40.2727	4418.7920	 	 	224.7900	 	2.23758
313	40.3057	5318.3900	 	 	224.7900	 	2.23582
314	40.3387	6134.8010	 	 	224.7900	 	2.23407
315	40.3717	6636.4220	 	 	224.7900	 	2.23232
316	40.4047	6718.2160	 	 	224.7900	 	2.23057
