No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
281,39.2497,599.6295, , ,224.7900, ,2.29351
282,39.2827,564.0964, , ,224.7900, ,2.29166
283,39.3157,540.0740, , ,224.7900, ,2.28981
284,39.3487,502.6836, , ,224.7900, ,2.28797
285,39.3817,479.1831, , ,224.7900, ,2.28613
286,39.4147,504.1477, , ,224.7900, ,2.28429
287,39.4477,475.9774, , ,224.7900, ,2.28245
288,39.4807,427.0647, , ,224.7900, ,2.28062
289,39.5137,425.4084, , ,224.7900, ,2.27879
290,39.5467,400.6258, , ,224.7900, ,2.27697
291,39.5797,380.0187, , ,224.7900, ,2.27515
292,39.6127,376.5480, , ,224.7900, ,2.27333
293,39.6457,381.7141, , ,224.7900, ,2.27151
294,39.6787,375.3589, , ,224.7900, ,2.26970
295,39.7117,360.6053, , ,224.7900, ,2.26789
296,39.7447,364.8252, , ,224.7900, ,2.26608
297,39.7777,387.5704, , ,224.7900, ,2.26428
298,39.8107,392.9593, , ,224.7900, ,2.26247
299,39.8437,396.7213, , ,224.7900, ,2.26068
300,39.8767,412.8350, , ,224.7900, ,2.25888
301,39.9097,460.5757, , ,224.7900, ,2.25709
302,39.9427,461.9831, , ,224.7900, ,2.25530
303,39.9757,502.8013, , ,224.7900, ,2.25352
304,40.0087,573.6495, , ,224.7900, ,2.25173
305,40.0417,668.5818, , ,224.7900, ,2.24995
306,40.0747,727.4358, , ,224.7900, ,2.24818
307,40.1077,819.7480, , ,224.7900, ,2.24640
308,40.1407,950.1161, , ,224.7900, ,2.24463
309,40.1737,1017.0210, , ,224.7900, ,2.24286
310,40.2067,1211.8650, , ,224.7900, ,2.24110
311,40.2397,1306.2270, , ,224.7900, ,2.23934
312,40.2727,1419.7300, , ,224.7900, ,2.23758
313,40.3057,1533.9190, , ,224.7900, ,2.23582
314,40.3387,1701.6070, , ,224.7900, ,2.23407
315,40.3717,1647.6360, , ,224.7900, ,2.23232
316,40.4047,1701.9850, , ,224.7900, ,2.23057
317,40.4377,1639.3540, , ,224.7900, ,2.22883
318,40.4707,1529.7570, , ,224.7900, ,2.22709
319,40.5037,1396.8190, , ,224.7900, ,2.22535
320,40.5367,1220.8150, , ,224.7900, ,2.22361
321,40.5697,1104.3490, , ,224.7900, ,2.22188
322,40.6027,950.1339, , ,224.7900, ,2.22015
323,40.6357,811.8934, , ,224.7900, ,2.21842
324,40.6687,695.6387, , ,224.7900, ,2.21670
325,40.7017,568.5279, , ,224.7900, ,2.21498
326,40.7347,514.9721, , ,224.7900, ,2.21326
327,40.7677,455.5530, , ,224.7900, ,2.21155
328,40.8007,419.3985, , ,224.7900, ,2.20983
329,40.8337,356.1411, , ,224.7900, ,2.20812
330,40.8667,325.8045, , ,224.7900, ,2.20642
331,40.8997,302.1446, , ,224.7900, ,2.20471
332,40.9327,276.7831, , ,224.7900, ,2.20301
333,40.9657,256.7336, , ,224.7900, ,2.20131
334,40.9987,249.8544, , ,224.7900, ,2.19962
335,41.0317,241.2120, , ,224.7900, ,2.19792
336,41.0647,207.6555, , ,224.7900, ,2.19623
337,41.0977,211.5277, , ,224.7900, ,2.19455
338,41.1307,195.3050, , ,224.7900, ,2.19286
339,41.1637,182.9016, , ,224.7900, ,2.19118
340,41.1967,172.4393, , ,224.7900, ,2.18950
341,41.2297,158.4669, , ,224.7900, ,2.18783
342,41.2627,148.4971, , ,224.7900, ,2.18615
343,41.2957,131.7896, , ,224.7900, ,2.18448
344,41.3287,131.6446, , ,224.7900, ,2.18281
345,41.3617,136.9456, , ,224.7900, ,2.18115
346,41.3947,131.6237, , ,224.7900, ,2.17948
347,41.4277,124.2385, , ,224.7900, ,2.17783
348,41.4607,128.1388, , ,224.7900, ,2.17617
349,41.4937,125.9881, , ,224.7900, ,2.17451
350,41.5267,117.3042, , ,224.7900, ,2.17286
351,41.5597,130.6740, , ,224.7900, ,2.17121
352,41.5927,126.1305, , ,224.7900, ,2.16957
353,41.6257,116.8431, , ,224.7900, ,2.16792
354,41.6587,102.2756, , ,224.7900, ,2.16628
355,41.6917,99.5861, , ,224.7900, ,2.16464
356,41.7247,115.1029, , ,224.7900, ,2.16301
357,41.7577,113.5007, , ,224.7900, ,2.16137
358,41.7907,114.8210, , ,224.7900, ,2.15974
359,41.8237,114.4083, , ,224.7900, ,2.15812
360,41.8567,105.5328, , ,224.7900, ,2.15649
361,41.8897,106.3525, , ,224.7900, ,2.15487
362,41.9227,101.4528, , ,224.7900, ,2.15325
363,41.9557,87.9235, , ,224.7900, ,2.15163
364,41.9887,83.4603, , ,224.7900, ,2.15002
